rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF033000000131;CA;OR033002100008;817A24LNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000132;CA;OR033002100008;817A48LNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000133;CA;OR033002100008;817A72LNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000134;CA;OR033002100008;817A96LNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000135;CA;OR033002100008;817AASLNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000136;CA;OR033002100008;817AC8LNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000137;CA;OR033002100008;817AFKLNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000138;CA;OR033002100008;817AJSLNGS;A;;2018-06-25 00:00:00;;axione;;
RF033000000139;CA;OR033002100008;817APKLNGS;A;;2018-06-25 00:00:00;;axione;;
RF033000000140;CA;OR033002100008;817ATGLNGS;A;;2018-06-25 00:00:00;;axione;;
RF033000000141;CA;OR033002100008;8186A5LMFP;A;;2018-06-25 00:00:00;;axione;;
RF033000000142;CA;OR033002100008;ADSS ARAMIDE;A;;2018-06-25 00:00:00;;axione;;
RF033000000143;CA;OR033002100008;ADSS LT;A;;2018-06-25 00:00:00;;axione;;
RF033000000144;CA;OR033002100008;8142A0LNGS;A;;2018-06-25 00:00:00;;axione;;
RF033000000145;CA;OR033002100008;0811813;A;;2018-06-25 00:00:00;;axione;;
RF033000000146;CA;OR033002100008;FIBERGEN;A;;2018-06-25 00:00:00;;axione;;
RF033000000147;CA;OR033002100008;817A96L;A;;2018-06-25 00:00:00;;axione;;
RF033000000148;CA;OR033002100008;817AASL;A;;2018-06-25 00:00:00;;axione;;
RF033000000149;CA;OR033002100008;817AFKL;A;;2018-06-25 00:00:00;;axione;;
RF033000000150;CA;OR033002100008;817A72DNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000151;CA;OR033002100008;817AASDNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000152;CA;OR033002100008;817AFKDNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000153;CA;OR033002100008;817AJSDNGS;A;;2018-06-25 00:00:00;;axione;;
RF033000000154;CA;OR033002100008;817AB8DNGS;A;;2018-06-25 00:00:00;;axione;;
RF033000000155;CA;OR033002100008;817AA3DNGS;A;;2018-06-25 00:00:00;;axione;;
RF033000000156;CA;OR033002100008;817648LNGP;A;;2018-06-25 00:00:00;;axione;;
RF033000000157;CA;OR033002100022;YOGALITE;A;;2018-06-25 00:00:00;;axione;;
RF033000000033;CA;OR033002100003;ACOPTIC-CCC 1577;A;;2018-06-25 00:00:00;;axione;;
RF033000000034;CA;OR033002100003;ACOPTIC-UND1534;A;;2018-06-25 00:00:00;;axione;;
RF033000000035;CA;OR033002100003;ACOPTIC-UND1533;A;;2018-06-25 00:00:00;;axione;;
